Trade Date,Buyer,Seller,Compliance Instrument Type,Jurisdiction,Contact CBM,Client Type,Protocol,Vintage Start,Vintage End,Volume,Price,Price for MtM,P&L,Currency,Comment,Fee,Note,Contract Signed,Invoice received ,Delivery Date
2016-11-15,ClearBlue,MDDELCC,CCA,Quebec,,Advisory,,16,16,1000.0,12.73,,-12730.0,USD,OTC ClearBlue,0.0,,,,2016-12-15
2017-03-22,Kingston,MOECC,CCA,Ontario,,Advisory,,20,20,19000.0,18.07,,-343330.0,CAD,Auction,0.0,,,,2017-04-20
2017-03-22,Union,MOECC,CCA,Ontario,,Advisory,,17,17,3798000.0,18.08,,-68667840.0,CAD,Auction,0.0,,,,2017-04-20
2017-03-22,Union,MOECC,CCA,Ontario,,Advisory,,17,17,198525.0,18.08,,-3589332.0,CAD,Auction,0.0,,,,2017-04-20
2017-03-22,Kingston,MOECC,CCA,Ontario,,Advisory,,17,17,52000.0,18.08,,-940160.0,CAD,Auction,0.0,,,,2017-04-20
2017-03-23,ClearBlue,CBL Markets,CCA,Quebec,,Advisory,,16,16,-1000.0,13.54,,13540.0,USD,OTC ClearBlue,0.0,,,,2017-04-22
2017-06-06,Kingston,MOECC,CCA,Ontario,,Advisory,,20,20,40000.0,18.3,,-732000.0,CAD,Auction,0.0,,,,2017-06-28
2017-06-06,Kitchener,MOECC,CCA,Ontario,,Advisory,,20,20,213000.0,18.3,,-3897900.0,CAD,Auction,0.0,,,,2017-06-28
2017-06-06,Union,MOECC,CCA,Ontario,,Advisory,,17,17,3283000.0,18.72,,-61457760.0,CAD,Auction,0.0,,,,2017-06-28
2017-06-06,Union,MOECC,CCA,Ontario,,Advisory,,20,20,480000.0,18.3,,-8784000.0,CAD,Auction,0.0,,,,2017-06-28
2017-06-06,Kingston,MOECC,CCA,Ontario,,Advisory,,17,17,30000.0,18.72,,-561600.0,CAD,Auction,0.0,,,,2017-06-28
2017-06-06,Kitchener,MOECC,CCA,Ontario,,Advisory,,17,17,191000.0,18.72,,-3575520.0,CAD,Auction,0.0,,,,2017-06-28
2017-07-20,Kruger,RBC,CCA,Quebec,,Advisory,,14,14,-45246.0,15.17,,,USD,OTC Direct,2262.0,,,,2017-07-20
2017-07-20,Kruger,RBC,CCA,Quebec,,Advisory,,15,15,-4754.0,15.17,,,USD,OTC Direct,237.7,,,,2017-07-20
2017-07-31,Kruger,Koch,CCA,Quebec,,Advisory,,15,15,-50000.0,15.1,,755000.0,USD,OTC Evo,2500.0,,,,2017-07-31
2017-08-09,Kruger,Greenfield,CCA,Quebec,,Advisory,,15,15,-5000.0,14.9,,,USD,OTC Direct,250.0,,,,2017-08-09
2017-09-06,Kingston,MOECC,CCA,Ontario,,Advisory,,20,20,53000.0,18.03,,-955590.0,CAD,Auction,0.0,,,,2017-09-28
2017-09-06,Kitchener,MOECC,CCA,Ontario,,Advisory,,20,20,120000.0,18.03,,-2163600.0,CAD,Auction,0.0,,,,2017-09-28
2017-09-06,Union,MOECC,CCA,Ontario,,Advisory,,20,20,145700.0,18.03,,-2626971.0,CAD,Auction,0.0,,,,2017-09-28
2017-09-06,Union,MOECC,CCA,Ontario,,Advisory,,17,17,2912000.0,18.56,,-54046720.0,CAD,Auction,0.0,,,,2017-09-28
2017-09-07,Algonquin,Vitol,CCA,California,,Advisory,,16,16,55000.0,15.33,,-843150.0,USD,OTC Evo,1650.0,,,,2017-09-07
2017-10-31,Tembec,Koch,CCA,Quebec,,Advisory,,17,17,25000.0,15.25,,-381250.0,USD,OTC Evo,1250.0,,,,2017-10-31
2017-11-15,Algonquin,Vitol,CCA,California,,Advisory,,17,17,25000.0,15.2,,-380000.0,USD,OTC Evo,750.0,,,,2017-11-15
2017-11-20,Silicium Quebec,BP,CCA,California,,Advisory,,15,15,-21000.0,15.25,,320250.0,USD,OTC Evo,2099.0,,,,2018-01-15
2017-11-20,Silicium Quebec,BP,CCO,California,,Advisory,TBD,TBD,TBD,40000.0,14.1,,-564000.0,USD,OTC Evo,2099.0,,,,2018-01-15
2017-11-29,Kingston,MOECC,CCA,Ontario,,Advisory,,20,20,20000.0,18.89,,-377800.0,CAD,Auction,0.0,,,,2017-12-21
2017-11-29,Kingston,MOECC,CCA,Ontario,,Advisory,,17,17,3000.0,17.38,,-52140.0,CAD,Auction,0.0,,,,2017-12-21
